Field=#~Integer~#~50|Field=Description~String~Description~107|Field=Quantity~Integer~Quantity~54|Field=Supplier 1~String~Supplier 1~62|Field=Supplier Part Number 1~String~Supplier Part Number 1~62|Field=Category~String~Category~49|Field=LibRef~String~LibRef~49|Field=Manufacturer 1~String~Manufacturer 1~64|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~46|Field=Supplier Currency 1~String~Supplier Currency 1~46|Field=Supplier Order Qty 1~Integer~Supplier Order Qty 1~65|Field=Supplier Stock 1~Integer~Supplier Stock 1~44|Field=Supplier Subtotal 1~Float~Supplier Subtotal 1~44|Field=Supplier Unit Price 1~Float~Supplier Unit Price 1~52|Field=Footprint~String~Footprint~66|Field=Designator~String~Designator~66|ReportField=Currency~EUR|ReportField=ProductionQuantity~2|ReportField=ProjectFileName~Front_PCB.PrjPcb|ReportField=ProjectFullPath~C:\Users\vojislav\OneDrive\IRNAS-Common\Electronics-Development\NewHarvest-incubator\Front_PCB\Front_PCB.PrjPcb|ReportField=Title~Bill of Materials production For Project [Front_PCB.PrjPcb] (No PCB Document Selected)|ReportField=ReportTime~11:44:34 AM|ReportField=ReportDate~11/25/2018|ReportField=ReportDateTime~11/25/2018 11:44:34 AM|ReportField=OutputName~Bill of Materials production|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~19|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~11/25/2018|ReportField=CurrentTime~11:44:06 AM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\vojislav\OneDrive\IRNAS-Common\Electronics-Development\NewHarvest-incubator\Front_PCB\Front_PCB.SchDoc|ReportField=DocumentName~Front_PCB.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~11/16/2018|ReportField=Organization~|ReportField=ProjectName~Front_PCB.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~Front_PCB.PrjPcb|ReportField=DataSourceFullPath~C:\Users\vojislav\OneDrive\IRNAS-Common\Electronics-Development\NewHarvest-incubator\Front_PCB\Front_PCB.PrjPcb|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|AMP FROM TE CONNECTIVITY         1-2178711-4             Wire-To-Board Connector, Micro-MaTch Value-Line Series, 14 Contacts, Receptacle, 1.27 mm|1|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTE%2520Connectivity%2520AMP%26mpn%3D1-2178711-4%26seller%3DFarnell%26sku%3D2473362%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}2473362{URL.TIP}Supplier||1-2178711-4|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTE%2520Connectivity%2520AMP%26mpn%3D1-2178711-4%26seller%3DFarnell%26sku%3D2473362%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}TE%20Connectivity%20AMP{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTE%2520Connectivity%2520AMP%26mpn%3D1-2178711-4%26seller%3DFarnell%26sku%3D2473362%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}1-2178711-4{URL.TIP}Manufacturer|EUR|2|636|2.89|1.45|micro_Match|P1
2|SENSIRION         SHT31-DIS-B             Humidity Sensor, 2 %, 3.3 V, 0% to 100% Relative Humidity, TDFN, 8 Pins, 8 s|1|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DSensirion%26mpn%3DSHT31-DIS-B%26seller%3DFarnell%26sku%3D2474218%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}2474218{URL.TIP}Supplier||SHT31-DIS-B|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DSensirion%26mpn%3DSHT31-DIS-B%26seller%3DFarnell%26sku%3D2474218%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Sensirion{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DSensirion%26mpn%3DSHT31-DIS-B%26seller%3DFarnell%26sku%3D2474218%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}SHT31-DIS-B{URL.TIP}Manufacturer|EUR|2|847|9.36|4.68|SON50P250X100_HS-9N|J1
3|Res Thin Film 0603 4.7K Ohm 0.1% 0.1W(1/10W) ±25ppm/C Molded SMD Automotive Punched T/R|7|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPanasonic%26mpn%3DERA-3AEB472V%26seller%3DFarnell%26sku%3D1577615%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}1577615{URL.TIP}Supplier||4K7|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPanasonic%26mpn%3DERA-3AEB472V%26seller%3DFarnell%26sku%3D1577615%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Panasonic{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPanasonic%26mpn%3DERA-3AEB472V%26seller%3DFarnell%26sku%3D1577615%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}ERA-3AEB472V{URL.TIP}Manufacturer|EUR|14|48090|2.67|0.19|RES0603|R1, R2, R3, R4, R5, R6, R7
4|OMRON ELECTRONIC COMPONENTS         B3F-1050             Tactile Switch, Non Illuminated, 24 V, 50 mA, 0.98 N, Solder, B3F Series|4|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DOmron%26mpn%3DB3F-1050%26seller%3DFarnell%26sku%3D176433%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}176433{URL.TIP}Supplier||B3F-1050|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DOmron%26mpn%3DB3F-1050%26seller%3DFarnell%26sku%3D176433%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Omron{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DOmron%26mpn%3DB3F-1050%26seller%3DFarnell%26sku%3D176433%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}B3F-1050{URL.TIP}Manufacturer|EUR|8|5577|1.66|0.21|B3F-1050|B1, B2, B3, B4
5|Non-Isolated DC/DC Converters 7.5W 24Vin 5Vout1 1.5A SIP Non-Iso|1|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%26mpn%3DOKI-78SR-5%252F1.5-W36-C%26seller%3DFarnell%26sku%3D2102101%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}2102101{URL.TIP}Supplier|Power Supplies - Board Mount|OKI-78SR-5/1.5-W36-C|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%26mpn%3DOKI-78SR-5%252F1.5-W36-C%26seller%3DFarnell%26sku%3D2102101%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Murata{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%26mpn%3DOKI-78SR-5%252F1.5-W36-C%26seller%3DFarnell%26sku%3D2102101%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}OKI-78SR-5%2F1.5-W36-C{URL.TIP}Manufacturer|EUR|2|256|7.39|3.7|DC-DC|U1
6|KEMET         C0603C104K4RAC7081             SMD Multilayer Ceramic Capacitor, 0603 [1608 Metric], 0.1 F, 16 V,  10%, X7R, C Series|1|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKEMET%26mpn%3DC0603C104K4RAC7081%26seller%3DFarnell%26sku%3D2522597%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}2522597{URL.TIP}Supplier||0.1uF Cap|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKEMET%26mpn%3DC0603C104K4RAC7081%26seller%3DFarnell%26sku%3D2522597%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}KEMET{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKEMET%26mpn%3DC0603C104K4RAC7081%26seller%3DFarnell%26sku%3D2522597%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}C0603C104K4RAC7081{URL.TIP}Manufacturer|EUR|10|0|0.73|0.07|CAP0603|C3
7||1|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DHirose%26mpn%3DDM3CS-SF%26seller%3DFarnell%26sku%3D1764376%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}1764376{URL.TIP}Supplier|Connectors, Interconnects|SD_CARD|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DHirose%26mpn%3DDM3CS-SF%26seller%3DFarnell%26sku%3D1764376%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Hirose{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DHirose%26mpn%3DDM3CS-SF%26seller%3DFarnell%26sku%3D1764376%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}DM3CS-SF{URL.TIP}Manufacturer|EUR|2|18392|2.19|1.09|SD_CARD|U3
8||1||{URL}{URL.TEXT}{URL.TIP}Supplier||ESP32|{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Manufacturer||||||ESP32|U2
9||1||{URL}{URL.TEXT}{URL.TIP}Supplier||LCD_DISPLAY|{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Manufacturer||||||LCD_DISPLAY|J2
10|Header, 4-Pin|1||{URL}{URL.TEXT}{URL.TIP}Supplier||Header 4|{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Manufacturer||||||HDR1X4|P2
